2026001;João Sucesso;Rua X;200432065;2000-01-01;2026001@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 432062;true
2026002;Maria Devedora;Rua Y;200432066;2001-02-02;2026002@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 432062;true
2026003;Aluno Extra 1;Rua Z;200432067;2000-01-01;2026003@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 432062;true
2026004;Aluno Extra 2;Rua Z;200432068;2000-01-01;2026004@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 432062;true
2026005;Aluno Extra 3;Rua Z;200432069;2000-01-01;2026005@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 432062;true
2026006;João Sucesso;Rua X;200420091;2000-01-01;2026006@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 420088;true
2026007;Maria Devedora;Rua Y;200420092;2001-02-02;2026007@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 420088;true
2026008;Aluno Extra 1;Rua Z;200420093;2000-01-01;2026008@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 420088;true
2026009;Aluno Extra 2;Rua Z;200420094;2000-01-01;2026009@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 420088;true
2026010;Aluno Extra 3;Rua Z;200420095;2000-01-01;2026010@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 420088;true
2026011;Estudante E2E;Rua do Teste;299555666;2000-10-10;2026011@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia de Testes;false
2026012;aluno teste modificado;Morada;2210558;2002-02-02;2026012@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;  engenharia  ;true
2026013;João Sucesso;Rua X;200188139;2000-01-01;2026013@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 188136;true
2026014;Maria Devedora;Rua Y;200188140;2001-02-02;2026014@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 188136;true
2026015;Aluno Extra 1;Rua Z;200188141;2000-01-01;2026015@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 188136;true
2026016;Aluno Extra 2;Rua Z;200188142;2000-01-01;2026016@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 188136;true
2026017;Aluno Extra 3;Rua Z;200188143;2000-01-01;2026017@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;Engenharia E2E 188136;true
2026018;aluno teste modificado;Morada;179055856;2002-02-02;2026018@issmf.ipp.pt;rNmEcymuBCMZE0V45sMTEmb89Hsq52ijmOqrpsoKqsU=;  engenharia  ;true
